,Date,Open,High,Low,Close,Volume,Adj_Close
2022-12-29 07:56:00,1672311360000,16592.2,16597.7,16592.1,16597.7,82.376,16597.70
2022-12-29 07:57:00,1672311420000,16597.6,16599.0,16597.6,16597.6,75.655,16597.60
2022-12-29 07:58:00,1672311480000,16597.6,16599.0,16597.6,16599.0,61.167,16599.00
2022-12-29 07:59:00,1672311540000,16599.0,16604.0,16598.9,16600.3,177.118,16600.30
2022-12-29 08:00:00,1672311600000,16600.3,16601.3,16600.3,16601.2,99.894,16601.20
2022-12-29 08:01:00,1672311660000,16601.3,16601.7,16593.9,16596.7,191.407,16596.70
2022-12-29 08:02:00,1672311720000,16596.8,16598.7,16596.7,16598.6,41.99,16598.60
2022-12-29 08:03:00,1672311780000,16598.6,16598.7,16598.6,16598.7,53.04,16598.70
2022-12-29 08:04:00,1672311840000,16598.6,16602.5,16594.4,16595.0,205.909,16595.00
2022-12-29 08:05:00,1672311900000,16595.1,16596.2,16595.0,16596.2,37.623,16596.20
2022-12-29 08:06:00,1672311960000,16596.1,16596.2,16595.0,16595.9,42.096,16595.90
2022-12-29 08:07:00,1672312020000,16595.9,16596.6,16595.9,16596.6,31.927,16596.60
2022-12-29 08:08:00,1672312080000,16596.6,16596.8,16596.5,16596.8,39.708,16596.80
2022-12-29 08:09:00,1672312140000,16596.8,16599.1,16596.7,16599.1,46.081,16599.10
2022-12-29 08:10:00,1672312200000,16599.1,16600.0,16599.0,16600.0,52.475,16600.00
2022-12-29 08:11:00,1672312260000,16599.9,16602.7,16599.9,16602.7,63.184,16602.70
2022-12-29 08:12:00,1672312320000,16602.8,16616.2,16602.8,16615.9,354.719,16615.90
2022-12-29 08:13:00,1672312380000,16615.9,16615.9,16605.4,16608.4,297.566,16608.40
2022-12-29 08:14:00,1672312440000,16608.4,16611.1,16608.3,16608.7,135.308,16608.70
2022-12-29 08:15:00,1672312500000,16608.7,16609.9,16608.7,16608.7,123.097,16608.70
2022-12-29 08:16:00,1672312560000,16608.7,16608.8,16605.9,16605.9,91.687,16605.90
2022-12-29 08:17:00,1672312620000,16605.9,16605.9,16601.2,16601.3,173.301,16601.30
2022-12-29 08:18:00,1672312680000,16601.2,16603.4,16601.2,16601.2,97.053,16601.20
2022-12-29 08:19:00,1672312740000,16601.3,16601.3,16600.0,16600.9,78.814,16600.90
2022-12-29 08:20:00,1672312800000,16600.8,16605.0,16600.8,16604.9,119.247,16604.90
2022-12-29 08:21:00,1672312860000,16604.9,16605.0,16600.9,16600.9,82.436,16600.90
2022-12-29 08:22:00,1672312920000,16600.9,16600.9,16592.2,16593.5,232.463,16593.50
2022-12-29 08:23:00,1672312980000,16593.6,16598.2,16593.5,16595.4,115.854,16595.40
2022-12-29 08:24:00,1672313040000,16595.4,16596.7,16595.4,16596.6,32.452,16596.60
2022-12-29 08:25:00,1672313100000,16596.7,16596.7,16596.6,16596.7,34.154,16596.70
2022-12-29 08:26:00,1672313160000,16596.6,16596.9,16596.6,16596.8,45.378,16596.80
2022-12-29 08:27:00,1672313220000,16596.8,16596.9,16592.1,16592.1,103.3,16592.10
2022-12-29 08:28:00,1672313280000,16592.2,16594.3,16592.2,16593.1,86.903,16593.10
2022-12-29 08:29:00,1672313340000,16593.1,16593.2,16593.1,16593.1,37.039,16593.10
2022-12-29 08:30:00,1672313400000,16593.1,16595.7,16593.1,16595.7,99.341,16595.70
2022-12-29 08:31:00,1672313460000,16595.6,16597.5,16595.6,16597.0,61.75,16597.00
2022-12-29 08:32:00,1672313520000,16597.1,16597.1,16590.8,16590.8,76.191,16590.80
2022-12-29 08:33:00,1672313580000,16590.8,16590.9,16590.0,16590.1,70.737,16590.10
2022-12-29 08:34:00,1672313640000,16590.1,16590.1,16590.0,16590.0,50.762,16590.00
2022-12-29 08:35:00,1672313700000,16590.1,16597.3,16589.6,16597.2,131.462,16597.20
2022-12-29 08:36:00,1672313760000,16597.2,16597.3,16596.0,16596.1,65.95,16596.10
2022-12-29 08:37:00,1672313820000,16596.0,16596.1,16593.5,16596.1,72.497,16596.10
2022-12-29 08:38:00,1672313880000,16596.1,16596.1,16592.6,16592.6,53.971,16592.60
2022-12-29 08:39:00,1672313940000,16592.6,16592.6,16588.7,16588.7,250.267,16588.70
2022-12-29 08:40:00,1672314000000,16588.7,16594.6,16588.7,16594.6,109.519,16594.60
2022-12-29 08:41:00,1672314060000,16594.5,16596.0,16594.5,16595.9,35.591,16595.90
2022-12-29 08:42:00,1672314120000,16596.0,16596.0,16595.3,16595.3,41.777,16595.30
2022-12-29 08:43:00,1672314180000,16595.4,16595.4,16593.4,16593.4,53.532,16593.40
2022-12-29 08:44:00,1672314240000,16593.5,16593.5,16593.4,16593.5,23.266,16593.50
2022-12-29 08:45:00,1672314300000,16593.5,16593.5,16589.3,16589.3,85.016,16589.30
2022-12-29 08:46:00,1672314360000,16589.4,16589.4,16587.8,16587.9,110.072,16587.90
2022-12-29 08:47:00,1672314420000,16587.8,16587.9,16585.6,16586.9,117.598,16586.90
2022-12-29 08:48:00,1672314480000,16587.0,16591.6,16582.1,16589.6,387.008,16589.60
2022-12-29 08:49:00,1672314540000,16589.7,16595.5,16589.6,16595.5,115.108,16595.50
2022-12-29 08:50:00,1672314600000,16595.6,16595.6,16592.8,16592.8,56.765,16592.80
2022-12-29 08:51:00,1672314660000,16592.9,16595.0,16592.8,16595.0,56.216,16595.00
2022-12-29 08:52:00,1672314720000,16595.0,16595.3,16594.9,16595.3,22.261,16595.30
2022-12-29 08:53:00,1672314780000,16595.3,16595.3,16595.2,16595.2,25.809,16595.20
2022-12-29 08:54:00,1672314840000,16595.3,16595.3,16595.2,16595.3,43.422,16595.30
2022-12-29 08:55:00,1672314900000,16595.2,16595.3,16593.0,16593.1,50.233,16593.10
2022-12-29 08:56:00,1672314960000,16593.0,16593.1,16591.3,16591.9,51.601,16591.90
2022-12-29 08:57:00,1672315020000,16591.9,16592.9,16591.9,16592.8,41.218,16592.80
2022-12-29 08:58:00,1672315080000,16592.8,16593.8,16592.8,16593.7,29.289,16593.70
2022-12-29 08:59:00,1672315140000,16593.8,16593.8,16593.7,16593.8,34.856,16593.80
2022-12-29 09:00:00,1672315200000,16593.8,16599.7,16593.7,16599.7,139.6,16599.70
2022-12-29 09:01:00,1672315260000,16599.7,16601.7,16599.6,16601.6,91.331,16601.60
2022-12-29 09:02:00,1672315320000,16601.6,16601.7,16599.2,16599.2,91.915,16599.20
2022-12-29 09:03:00,1672315380000,16599.3,16601.6,16599.2,16601.6,89.675,16601.60
2022-12-29 09:04:00,1672315440000,16601.6,16603.4,16601.5,16603.4,60.126,16603.40
